Capa	Volt	X
0.00	3.01146	0.925
0.000	3.03735	0.925
0.000	3.0629	0.925
0.000	3.08845	0.925
0.000	3.114	0.925
0.000	3.13954	0.925
0.000	3.16509	0.925
0.000	3.19064	0.925
0.000	3.21619	0.925
0.000	3.24173	0.925
0.000	3.26728	0.925
0.000	3.29283	0.925
0.000	3.31838	0.925
0.000	3.34393	0.925
0.000	3.36947	0.925
0.000	3.39502	0.925
0.000	3.42057	0.925
0.000	3.44612	0.925
0.000	3.47167	0.925
0.08403		3.49896	0.92469263
0.52984		3.54727	0.92306192
 2.85575		3.56152	0.914554072 
 6.31025		3.57282	0.901918001
 9.32211		3.57713	0.890901045
12.89532	3.58236	0.87783075
16.25066	3.5889	0.865557392
19.60600	3.5965	0.853284035
22.82510	3.60504	0.841509024
26.04420	3.6135	0.829734013
29.39675	3.62499	0.817470861
31.98616	3.63433	0.807999166
34.51996	3.64108	0.798730886
37.46658	3.64783	0.787952568
40.68568	3.65185	0.776177557
44.17726	3.65236	0.763405853
47.63360	3.65358	0.750763052
51.07070	3.6542	0.738190628
54.37951	3.65573	0.72608747
57.73485	3.66079	0.713814113
61.09019	3.66913	0.701540755
64.44553	3.68022	0.689267398
67.80087	3.69278	0.67699404
71.15621	3.70625	0.664720683
74.51155	3.72012	0.652447325
77.86689	3.73385	0.640173968
81.22223	3.74715	0.62790061
84.57757	3.75792	0.615627252
87.93290	3.76848	0.603353932
91.28824	3.77903	0.591080574
94.64358	3.78917	0.578807217
97.99892	3.79983	0.566533859
101.35426	3.81134	0.554260501
104.7096	3.82369	0.541987144
108.06494	3.83583	0.529713786
111.59458	3.85064	0.516802864
114.63323	3.86529	0.505687914
117.54475	3.87989	0.495037987
120.5712	3.89632	0.483967662
123.92654	3.91226	0.471694305
127.28188	3.92672	0.459420947
130.63722	3.93929	0.44714759
133.99256	3.95217	0.434874232
137.3479	3.96484	0.422600875
140.83947	3.98086	0.409829207
143.87354	3.99525	0.39873101
147.01256	4.00519	0.38724892
150.18824	4.01252	0.375632733
153.56836	4.01903	0.363268734
157.00611	4.0232	0.350693932
160.22521	4.02712	0.338918922
163.58055	4.03303	0.326645564
166.93589	4.04275	0.314372206
170.29122	4.06038	0.302098886
173.34153	4.08604	0.290941284
176.23932	4.11385	0.28034158
179.16967	4.13691	0.269622776
181.63837	4.15088	0.260592621
184.50058	4.1623	0.250123063
187.84677	4.17154	0.237883175
191.33835	4.17555	0.225111471
194.69369	4.17777	0.212838114
201.40437	4.17925	0.188291399
198.04903	4.17935	0.200564756
204.75971	4.18252	0.176018041
214.82572	4.18389	0.139198005
208.11504	4.18496	0.16374472
211.6229	4.18691	0.150913466
218.18106	4.18717	0.126924648
221.5364	4.19192	0.11465129
224.89174	4.20089	0.102377932
228.24708	4.21757	0.090104575
230.99236	4.24117	0.08006273
233.29703	4.2672	0.071632575
235.11027	4.2957	0.065
