Capa  Volt	X
 0.084030	4.24649	0.065
 1.304150	4.21473	0.069434921
 4.049430	4.19192	0.079413528
 7.404770	4.17481	0.091609597
10.76011	4.1651	0.103805665
14.11545	4.15993	0.116001733
17.47079	4.15856	0.128197801
20.82613	4.15856	0.140393869
24.18146	4.15687	0.152589901
27.53680	4.15634	0.164785969
30.89214	4.15623	0.176982037
34.24748	4.1556	0.189178105
37.60282	4.15286	0.201374173
40.95816	4.15159	0.213570241
44.31350	4.15011	0.22576631
47.66884	4.14525	0.237962378
51.02418	4.13765	0.250158446
54.37951	4.12382	0.262354478
57.58234	4.10212	0.273996199
60.48013	4.07507	0.284529153
63.53044	4.04813	0.295616491
66.88578	4.02681	0.30781256
70.24112	4.01224	0.320008628
73.59646	4.00358	0.332204696
76.95179	3.99735	0.344400728
80.30713	3.99292	0.356596796
83.66247	3.98891	0.368792864
87.01781	3.98331	0.380988932
90.37315	3.97402	0.393185
93.72849	3.96072	0.405381068
97.08383	3.94288	0.417577136
100.43917	3.92504	0.429773204
103.79451	3.90867	0.441969272
107.28609	3.89421	0.454660549
110.5616	3.8834	0.466566449
114.17684	3.86739	0.479707208
117.14808	3.85709	0.49050714
120.26617	3.84311	0.501840847
123.62151	3.82759	0.514036915
126.97685	3.81398	0.526232983
130.33219	3.80173	0.538429051
133.68753	3.78991	0.550625119
137.04287	3.77967	0.562821187
140.3982	3.76848	0.575017219
143.75354	3.75781	0.587213287
147.10888	3.74673	0.599409355
150.46422	3.73522	0.611605423
153.81956	3.72287	0.623801491
157.1749	3.70925	0.63599756
160.53024	3.69521	0.648193628
163.88558	3.68096	0.660389696
167.24092	3.66745	0.672585764
170.59625	3.65478	0.684781796
173.95159	3.64285	0.696977864
177.30693	3.63387	0.709173932
180.66227	3.63007	0.72137
184.01761	3.62765	0.733566068
187.37295	3.62617	0.745762136
190.72829	3.62416	0.757958204
194.49235	3.62057	0.771639897
197.98393	3.6117	0.784331174
200.76175	3.59095	0.794428059
203.02763	3.56413	0.802664132
204.66615	3.54053	0.808619863
207.74946	3.51142	0.81982715
211.1328	3.49523	0.832124993
214.89686	3.48241	0.845806686
217.97972	3.47054	0.857012338
221.06258	3.45546	0.868217989
223.97665	3.43315	0.878810119
226.26438	3.40896	0.887125613
228.09456	3.38205	0.893777994
229.70155	3.35307	0.899619119
230.69284	3.32477	0.903222283
231.73315	3.29374	0.907003626
232.51751	3.25683	0.909854636
233.21703	3.23019	0.912397268
233.9227	3.20022	0.914962254
234.51649	3.16882	0.917120575
234.85608	3.13851	0.918354925
235.29534	3.10928	0.919951558
235.72033	3.07862	0.921496321
236.13975	3.04403	0.923020839
236.68425	3.00272	0.925
