eta current
-6.02224e+0 3.01807e-1
-5.34277e+0 2.62373e-1
-4.61476e+0 2.21103e-1
-3.88675e+0 1.83448e-1
-3.54702e+0 1.67099e-1
-3.15875e+0 1.49857e-1
-2.81901e+0 1.32319e-1
-2.46309e+0 1.13254e-1
-2.07482e+0 9.54398e-2
-1.73509e+0 7.91860e-2
-1.36299e+0 6.17363e-2
-1.00708e+0 4.52278e-2
-6.34985e-1 2.83598e-2
-2.62892e-1 1.22416e-2
-1.01112e-1 3.31337e-3
4.44894e-2  2.70665e-3
2.06269e-1  9.84562e-3
3.19515e-1  1.45265e-2
6.91608e-1  3.11346e-2
1.07179e+0  4.77589e-2
1.45197e+0  6.46861e-2
1.82406e+0  8.29696e-2
2.20425e+0  1.00781e-1
2.59252e+0  1.18665e-1
2.95652e+0  1.37567e-1
3.33670e+0  1.54593e-1
3.70880e+0  1.73726e-1
4.46107e+0  2.11020e-1
5.19717e+0  2.52364e-1
5.94135e+0  2.92561e-1
