eta	current
-5.98989e+0 1.69719e-1
-5.26188e+0 1.47543e-1
-4.51769e+0 1.26285e-1
-3.78969e+0 1.04778e-1
-3.40142e+0 9.25159e-2
-3.04550e+0 8.16887e-2
-2.67341e+0 6.99189e-2
-2.28514e+0 5.98449e-2
-1.94540e+0 5.04316e-2
-1.55713e+0 4.11969e-2
-1.18504e+0 3.01807e-2
-8.12942e-1 2.14329e-2
-4.73205e-1 1.22416e-2
-2.62892e-1 7.55750e-3
-6.87563e-2 1.52206e-3
4.44894e-2 1.34394e-3
1.90091e-1 5.36698e-3
4.81294e-1 1.26285e-2
8.69565e-1 2.35300e-2
1.27401e+0 3.31337e-2
1.64611e+0 4.45296e-2
2.03438e+0 5.45113e-2
2.42265e+0 6.46861e-2
2.80283e+0 7.61652e-2
3.57128e+0 9.84562e-2
3.95956e+0 1.09784e-1
4.71992e+0 1.32319e-1
5.48028e+0 1.54593e-1
